,Number,Line,Sample,CODE,No leaves,Diameter,Perpendicular,Height,Max. Temp.,Min. Temp.,Mean. Temp.,Max. Hum.,Min. Hum.,Mean. Hum.,Combined Temperature Average,Combined Temperature Std Dev,Combined Humidity Average,Combined Humidity Std Dev,BBCH,Average Leaf Thickness
2024-09-07,35,5,N,RNGRB4,10,11.3,9.8,10.4,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,36,5,N,RNGRA4,7,8.9,7.7,6.9,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,37,5,N,RNGRC2,11,15.4,12.2,12.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,38,6,N,RNROB1,3,6.2,5.1,8.7,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,39,6,N,RNROA4,6,12.2,8.5,10.1,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,40,6,N,RNROC2,7,14.8,12.1,11.3,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,41,6,N,RNROA3,5,12.9,11.2,11.4,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,42,6,N,RNROB5,3,7.3,4.8,9.2,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,43,6,N,RNROA2,6,12.4,10.7,8.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,44,6,N,RNROC4,6,12.1,10.8,11.3,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-07,45,6,N,RNROB4,7,13.4,9.7,12.5,28.5,15.4,19.395833333333332,79.5,44.1,64.70416666666667,20.911128364389235,1.8449031296448781,60.76834886128364,9.135845606804317,19,0.0
2024-09-11,1,1,W,RWGRB5,12,17.5,16.2,11.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,2,1,W,RWGRA3,10,12.5,10.7,11.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,18,0.0
2024-09-11,3,1,W,RWGRC1,15,16.1,14.8,11.3,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,4,1,W,RWGRA2,10,12.4,12.3,10.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,5,1,W,RWGRB3,13,15.2,13.5,11.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,6,1,W,RWGRA4,11,16.2,11.8,11.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,7,1,W,RWGRC3,15,15.1,14.7,13.2,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,8,1,W,RWGRA5,11,12.6,12.2,9.4,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,9,2,W,RWGRC2,14,21.3,16.4,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,37,0.0
2024-09-11,10,2,W,RWGRB4,10,22.1,14.7,15.2,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,37,0.0
2024-09-11,11,2,W,RWGRC5,16,14.4,14.2,12.3,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,39,0.0
2024-09-11,12,2,W,RWGRB1,12,16.5,13.2,13.3,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,13,2,W,RWGRC4,13,16.2,14.9,13.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,14,2,W,RWGRB2,10,16.1,12.2,11.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,15,2,W,RWGRA1,12,13.8,12.7,11.2,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,16,3,N,RNGRA3,12,14.3,12.3,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,17,3,N,RNGRB5,14,19.7,15.8,15.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,18,3,N,RNGRC4,12,16.8,15.7,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,19,3,N,RNGRA1,15,14.2,13.2,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,20,3,N,RNGRC5,14,19.7,12.5,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,21,3,N,RNGRB2,14,16.1,13.5,12.2,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
