Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
17;3;N;17/09/2024;RNGRB5;16;23,8;23,2;14,2;;;;;
18;3;N;17/09/2024;RNGRC4;16;23,1;20,8;11,8;;;;;
19;3;N;17/09/2024;RNGRA1;16;20,3;17,3;13,2;;;;;
20;3;N;17/09/2024;RNGRC5;15;23,3;18,2;12,9;;;;;
21;3;N;17/09/2024;RNGRB2;15;23,4;19,6;11,5;;;;;
22;3;N;17/09/2024;RNGRA2;13;20,8;19,6;12,5;;;;;
23;4;N;17/09/2024;RNROB2;10;19,8;15,7;9,9;;;;;
24;4;N;17/09/2024;RNROC3;10;20,4;16,2;12,1;;;;;
25;4;N;17/09/2024;RNROA5;7;15,3;13,8;10,1;;;;;
26;4;N;17/09/2024;RNROC5;11;18,3;16,2;11,1;;;;;
27;4;N;17/09/2024;RNROB3;9;20,5;15,6;10,4;;;;;
28;4;N;17/09/2024;RNROA1;4;9,8;8,1;7,9;;;;;
29;4;N;17/09/2024;RNROC1;9;18,4;17,1;10,3;;;;;
30;5;N;17/09/2024;RNGRC1;16;21,8;19,7;14,2;;;;;
31;5;N;17/09/2024;RNGRB3;16;23,2;19,7;15,1;;;;;
32;5;N;17/09/2024;RNGRA5;14;20,4;18,2;12,8;;;;;
33;5;N;17/09/2024;RNGRB1;15;21,3;19,5;13,4;;;;;
34;5;N;17/09/2024;RNGRC3;16;21,7;21,5;13,1;;;;;
35;5;N;17/09/2024;RNGRB4;15;19,9;20,7;13,2;;;;;
36;5;N;17/09/2024;RNGRA4;11;19,2;15,5;12,1;;;;;
37;5;N;17/09/2024;RNGRC2;13;23,4;20,6;13,1;;;;;
38;6;N;17/09/2024;RNROB1;6;12,6;11,5;8,4;;;;;
39;6;N;17/09/2024;RNROA4;9;19,4;15,5;10,8;;;;;
40;6;N;17/09/2024;RNROC2;10;21,8;16,1;11,3;;;;;
41;6;N;17/09/2024;RNROA3;10;18,8;14,6;10,1;;;;;
42;6;N;17/09/2024;RNROB5;9;15,7;13,1;11,9;;;;;
43;6;N;17/09/2024;RNROA2;11;16,8;15,9;9,9;;;;;
44;6;N;17/09/2024;RNROC4;10;19,6;17,7;12,1;;;;;
45;6;N;17/09/2024;RNROB4;12;20,6;17,1;12,3;;;;;
1;1;W;20/09/2024;RWGRB5;13;22,1;21,8;10,15;0,35;0,3;0,41;;
2;1;W;20/09/2024;RWGRA3;13;22,4;19,6;6,15;0,29;0,31;0,33;;
3;1;W;20/09/2024;RWGRC1;15;24,6;21,7;8,65;0,47;0,33;0,44;;
